symbol,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,profit_factor,average_win,average_loss,compounding_annual_return,volatility
AMZU,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0
AAPU,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0
APLD,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0
AMZZ,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0
APPX,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0
AUR,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0
AU,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0
BCRX,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0
BJRI,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0
BE,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0
EWY,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0
CRWV,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0
CONL,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0
FHI,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0
FBL,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0
FRPT,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0
FVRR,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0
FIVN,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0
IDCC,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0
GLOB,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0
INTW,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
IDXX,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
LENZ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
METU,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0
LOGI,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0
NET,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
MTZ,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
NATL,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
PWP,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0
PCOR,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0
SITC,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0
RDTL,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0
SIXG,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0
SOFX,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0
STRL,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0
TMDX,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0
SVIX,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0
TECL,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0
TQQQ,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0
TTMI,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0
VSAT,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0
USAR,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0
VFC,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0
ALGN,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0
WEAV,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0
ALKT,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0
AGX,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0
