symbol,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,profit_factor,average_win,average_loss,compounding_annual_return,volatility,start_equity,end_equity,net_profit
AGX,0.66,0.0,0.0,66.67,3,5129.5172,743.78,0.29,0.0,0.0,100000.0,100659.7056,659.7056000000011
AMZU,0.66,0.0,0.0,66.67,3,5129.5172,743.78,0.29,0.0,0.0,100000.0,100659.7056,659.7056000000011
ALGN,0.66,0.0,0.0,66.67,3,5129.5172,743.78,0.29,0.0,0.0,100000.0,100659.7056,659.7056000000011
ALKT,0.66,0.0,0.0,66.67,3,5129.5172,743.78,0.29,0.0,0.0,100000.0,100659.7056,659.7056000000011
AAPU,-2.41,0.0,0.0,20.0,5,0.1935,686.8,887.385,0.0,0.0,100000.0,97586.17,-2413.8300000000017
APPX,0.04,0.0,0.0,0.0,1,0.0,0.0,1784.8,0.0,0.0,100000.0,100043.1006,43.100600000005215
APLD,0.04,0.0,0.0,0.0,1,0.0,0.0,1784.8,0.0,0.0,100000.0,100043.1006,43.100600000005215
AMZZ,0.04,0.0,0.0,0.0,1,0.0,0.0,1784.8,0.0,0.0,100000.0,100043.1006,43.100600000005215
AU,0.04,0.0,0.0,0.0,1,0.0,0.0,1784.8,0.0,0.0,100000.0,100043.1006,43.100600000005215
AUR,-5.65,0.0,0.0,0.0,3,0.0,0.0,1724.33,0.0,0.0,100000.0,94353.4571,-5646.5429
CONL,-1.15,0.0,0.0,0.0,1,0.0,0.0,1573.8,0.0,0.0,100000.0,98851.19,-1148.8099999999977
BJRI,-1.15,0.0,0.0,0.0,1,0.0,0.0,1573.8,0.0,0.0,100000.0,98851.19,-1148.8099999999977
BE,-1.15,0.0,0.0,0.0,1,0.0,0.0,1573.8,0.0,0.0,100000.0,98851.19,-1148.8099999999977
BCRX,-1.15,0.0,0.0,0.0,1,0.0,0.0,1573.8,0.0,0.0,100000.0,98851.19,-1148.8099999999977
CRWV,-0.79,0.0,0.0,0.0,1,0.0,0.0,978.69,0.0,0.0,100000.0,99208.53,-791.4700000000012
FIVN,-3.3,0.0,0.0,33.33,3,0.0056,13.12,1173.015,0.0,0.0,100000.0,96702.5578,-3297.442200000005
EWY,-3.3,0.0,0.0,33.33,3,0.0056,13.12,1173.015,0.0,0.0,100000.0,96702.5578,-3297.442200000005
FHI,-3.3,0.0,0.0,33.33,3,0.0056,13.12,1173.015,0.0,0.0,100000.0,96702.5578,-3297.442200000005
FBL,-3.3,0.0,0.0,33.33,3,0.0056,13.12,1173.015,0.0,0.0,100000.0,96702.5578,-3297.442200000005
FRPT,-3.51,0.0,0.0,0.0,5,0.0,0.0,772.462,0.0,0.0,100000.0,96493.7532,-3506.2467999999935
FVRR,-0.63,0.0,0.0,50.0,2,1.1316,520.88,460.32,0.0,0.0,100000.0,99370.9,-629.1000000000058
IDXX,-0.63,0.0,0.0,50.0,2,1.1316,520.88,460.32,0.0,0.0,100000.0,99370.9,-629.1000000000058
IDCC,-0.63,0.0,0.0,50.0,2,1.1316,520.88,460.32,0.0,0.0,100000.0,99370.9,-629.1000000000058
GLOB,-0.63,0.0,0.0,50.0,2,1.1316,520.88,460.32,0.0,0.0,100000.0,99370.9,-629.1000000000058
INTW,0.33,0.0,0.0,0.0,1,0.0,0.0,56.18,0.0,0.0,100000.0,100329.025,329.0249999999942
MTZ,-2.03,0.0,0.0,25.0,4,0.179,307.72,572.9067,0.0,0.0,100000.0,97972.2244,-2027.7755999999936
METU,-2.03,0.0,0.0,25.0,4,0.179,307.72,572.9067,0.0,0.0,100000.0,97972.2244,-2027.7755999999936
LOGI,-2.03,0.0,0.0,25.0,4,0.179,307.72,572.9067,0.0,0.0,100000.0,97972.2244,-2027.7755999999936
NATL,-2.03,0.0,0.0,25.0,4,0.179,307.72,572.9067,0.0,0.0,100000.0,97972.2244,-2027.7755999999936
NET,-1.36,0.0,0.0,0.0,2,0.0,0.0,508.51,0.0,0.0,100000.0,98644.6,-1355.3999999999942
PWP,0.79,0.0,0.0,0.0,1,0.0,0.0,131.21,0.0,0.0,100000.0,100792.6952,792.6952000000019
RDTL,0.79,0.0,0.0,0.0,1,0.0,0.0,131.21,0.0,0.0,100000.0,100792.6952,792.6952000000019
PCOR,0.79,0.0,0.0,0.0,1,0.0,0.0,131.21,0.0,0.0,100000.0,100792.6952,792.6952000000019
SITC,0.79,0.0,0.0,0.0,1,0.0,0.0,131.21,0.0,0.0,100000.0,100792.6952,792.6952000000019
SIXG,-0.48,0.0,0.0,50.0,2,0.7618,214.13,281.1,0.0,0.0,100000.0,99518.675,-481.3249999999971
SOFX,-0.48,0.0,0.0,50.0,2,0.7618,214.13,281.1,0.0,0.0,100000.0,99518.675,-481.3249999999971
SVIX,-0.32,0.0,0.0,33.33,3,0.3522,255.79,363.085,0.0,0.0,100000.0,99682.5541,-317.4459000000061
STRL,0.82,0.0,0.0,100.0,2,10.0,799.465,0.0,0.0,0.0,100000.0,100821.5098,821.5097999999998
TECL,-0.32,0.0,0.0,33.33,3,0.3522,255.79,363.085,0.0,0.0,100000.0,99682.5541,-317.4459000000061
TMDX,5.61,0.0,0.0,100.0,1,10.0,4404.88,0.0,0.0,0.0,100000.0,105609.7602,5609.760200000004
TQQQ,5.61,0.0,0.0,100.0,1,10.0,4404.88,0.0,0.0,0.0,100000.0,105609.7602,5609.760200000004
USAR,-4.27,0.0,0.0,25.0,4,0.1189,393.87,1104.3833,0.0,0.0,100000.0,95726.265,-4273.735000000001
TTMI,-4.27,0.0,0.0,25.0,4,0.1189,393.87,1104.3833,0.0,0.0,100000.0,95726.265,-4273.735000000001
VFC,-4.27,0.0,0.0,25.0,4,0.1189,393.87,1104.3833,0.0,0.0,100000.0,95726.265,-4273.735000000001
VSAT,2.85,0.0,0.0,50.0,2,1.0738,2799.94,2607.43,0.0,0.0,100000.0,102849.2722,2849.2722000000067
WEAV,2.85,0.0,0.0,50.0,2,1.0738,2799.94,2607.43,0.0,0.0,100000.0,102849.2722,2849.2722000000067
LENZ,2.85,0.0,0.0,50.0,2,1.0738,2799.94,2607.43,0.0,0.0,100000.0,102849.2722,2849.2722000000067
